Id,Neighborhood,OverallQual,GrLivArea,YearBuilt,actual_price,pred_price,rel_error,abs_rel_error,valuation_flag
250,ClearCr,6,2144,1958,276999.9999999998,283602.9704265405,-0.023282444526620233,0.023282444526620233,Underpriced
251,BrkSide,3,1306,1940,76499.99999999996,75463.13943539358,0.013739960626658932,0.013739960626658932,Overpriced
252,Crawfor,8,1625,2006,235000.0,311964.2808328253,-0.24670863160154136,0.24670863160154136,Underpriced
253,SawyerW,6,1640,2004,172999.9999999999,176892.41645392368,-0.02200442806963209,0.02200442806963209,Underpriced
254,NAmes,6,1302,1964,157999.99999999997,162162.10964631682,-0.025666351130943024,0.025666351130943024,Underpriced
255,NAmes,5,1314,1957,145000.00000000012,154225.0948433592,-0.059815783240261086,0.059815783240261086,Underpriced
256,Gilbert,7,2291,1999,230000.0000000001,230782.20912626447,-0.0033893822631553988,0.0033893822631553988,Underpriced
257,Somerst,6,1728,2003,207500.0000000001,191347.12166705017,0.08441662561852596,0.08441662561852596,Overpriced
258,CollgCr,7,1604,2006,219999.99999999983,229470.8709842614,-0.04127265017837989,0.04127265017837989,Underpriced
259,CollgCr,7,1792,2001,231500.00000000006,200949.7135593806,0.15202950976883015,0.15202950976883015,Overpriced
260,OldTown,5,882,1956,96999.99999999999,100574.91095088939,-0.03554475879809656,0.03554475879809656,Underpriced
261,NAmes,6,1382,1962,176000.00000000006,171182.49590468267,0.028142504114438527,0.028142504114438527,Overpriced
262,CollgCr,8,2574,2007,276000.0000000002,370476.79944004334,-0.2550140780282058,0.2550140780282058,Underpriced
263,Sawyer,6,1212,1977,151000.00000000006,156894.0462789881,-0.03756704871074126,0.03756704871074126,Underpriced
264,OldTown,5,1316,1929,130000.00000000009,124296.51444985578,0.04588612621510986,0.04588612621510986,Overpriced
265,OldTown,5,764,1925,73000.00000000003,84232.99297943273,-0.13335621330914213,0.13335621330914213,Underpriced
266,NWAmes,6,1422,1981,175500.0,173124.7470356087,0.013719892765548638,0.013719892765548638,Overpriced
267,Gilbert,6,1511,1997,185000.00000000006,184615.86870735887,0.0020807057125197185,0.0020807057125197185,Overpriced
268,SWISU,5,2192,1939,179500.00000000015,171622.56571499642,0.04589975829918145,0.04589975829918145,Overpriced
269,IDOTRR,5,778,1940,120499.99999999996,109731.99395781015,0.09813004989529217,0.09813004989529217,Overpriced
270,Edwards,6,1113,1976,148000.00000000015,150926.52443007135,-0.019390391722875402,0.019390391722875402,Underpriced
271,Somerst,8,1939,2006,265999.9999999998,279598.5853393257,-0.048636102084788475,0.048636102084788475,Underpriced
272,ClearCr,7,1363,1954,241500.0,202595.35684349982,0.1920312674616384,0.1920312674616384,Overpriced
273,NoRidge,8,2270,1999,289999.9999999999,297526.9032818554,-0.025298227484070814,0.025298227484070814,Underpriced
274,NAmes,6,1632,1958,139000.00000000003,164697.08167936353,-0.1560263328125706,0.1560263328125706,Underpriced
275,Mitchel,5,816,1982,124500.00000000003,133494.0973388696,-0.06737449458936293,0.06737449458936293,Underpriced
276,BrkSide,7,1548,1925,205000.0,185060.1359216997,0.10774802460286212,0.10774802460286212,Overpriced
277,Mitchel,7,1560,2003,200999.99999999997,213429.88503204053,-0.05823872804961012,0.05823872804961012,Underpriced
278,Gilbert,4,864,1951,140999.99999999994,109284.71396828625,0.2902078880026833,0.2902078880026833,Overpriced
279,NridgHt,9,2121,2006,415298.0000000002,382272.9679720552,0.08639123033768678,0.08639123033768678,Overpriced
280,ClearCr,7,2022,1977,191999.99999999997,227358.19602368667,-0.15551757817432282,0.15551757817432282,Underpriced
281,SawyerW,7,1982,1989,228500.00000000003,229147.57522817812,-0.0028260182440649974,0.0028260182440649974,Underpriced
282,Somerst,6,1262,2006,185000.00000000006,194068.34787747788,-0.04672759868705114,0.04672759868705114,Underpriced
283,NridgHt,7,1314,2007,207500.0000000001,224865.1310369172,-0.07722464997948573,0.07722464997948573,Underpriced
284,Somerst,8,1468,2008,244600.00000000006,240756.23859670482,0.01596536573963508,0.01596536573963508,Overpriced
285,SawyerW,6,1575,1992,179200.0000000001,190909.11729957888,-0.06133346309073643,0.06133346309073643,Underpriced
286,Somerst,7,1250,2006,164700.0000000001,160243.74501547564,0.02780922889747793,0.02780922889747793,Overpriced
287,NAmes,6,1734,1962,158999.99999999997,185111.31406989027,-0.14105736432745414,0.14105736432745414,Underpriced
288,NAmes,4,858,1971,87999.99999999996,105962.86690849224,-0.16952039363001303,0.16952039363001303,Underpriced
289,Sawyer,5,900,1967,122000.00000000003,120988.38082845007,0.008361291924257901,0.008361291924257901,Overpriced
290,BrkSide,6,1396,1915,153575.0,140272.2485933179,0.09483523319890519,0.09483523319890519,Overpriced
291,CollgCr,8,1919,2006,233230.0000000001,250565.1828150648,-0.06918432409605496,0.06918432409605496,Underpriced
292,SWISU,5,1716,1912,135900.0000000001,124705.55870980531,0.08976697916285095,0.08976697916285095,Overpriced
293,Edwards,5,1716,1949,130999.99999999997,138749.6026133269,-0.05585315177387449,0.05585315177387449,Underpriced
294,NWAmes,7,2263,1977,235000.0,248238.24821827462,-0.05332880131604173,0.05332880131604173,Underpriced
295,NAmes,6,1644,1953,167000.0000000001,180432.16492492135,-0.0744444036932686,0.0744444036932686,Underpriced
296,Mitchel,6,1003,1984,142500.00000000012,144754.22713082485,-0.015572789655306033,0.015572789655306033,Underpriced
297,IDOTRR,5,1558,1950,152000.00000000006,138698.44942715773,0.0959026624146083,0.0959026624146083,Overpriced
298,Somerst,7,1950,1997,239000.00000000003,235843.04640024994,0.013385824377422677,0.013385824377422677,Overpriced
299,NWAmes,6,1743,1968,175000.00000000012,165656.63697138496,0.05640198424545529,0.05640198424545529,Overpriced
300,Crawfor,6,1152,1950,158499.99999999997,156263.38958662256,0.01431308010976922,0.01431308010976922,Overpriced
301,Crawfor,5,1336,1953,156999.99999999994,165212.3975273618,-0.04970811906534899,0.04970811906534899,Underpriced
302,CollgCr,8,2452,1998,267000.0,273462.69498945057,-0.023632821250810388,0.023632821250810388,Underpriced
303,CollgCr,7,1541,2001,205000.0,222796.65873156127,-0.0798784812702409,0.0798784812702409,Underpriced
304,CollgCr,5,894,1972,149900.0,132155.58220317386,0.13426915080700982,0.13426915080700982,Overpriced
305,OldTown,7,3493,1880,294999.9999999998,288709.25859013427,0.021789191800032297,0.021789191800032297,Overpriced
306,CollgCr,8,2000,2004,305899.99999999977,325676.81519001763,-0.060725278151835864,0.060725278151835864,Underpriced
307,SawyerW,7,2243,1990,225000.00000000015,254782.2161835184,-0.11689283745795773,0.11689283745795773,Underpriced
308,IDOTRR,6,1406,1920,89500.00000000003,123076.45264703024,-0.27280972050213204,0.27280972050213204,Underpriced
309,Edwards,4,861,1940,82500.00000000001,103338.28347422702,-0.2016511477996841,0.2016511477996841,Underpriced
310,NridgHt,9,1944,2003,360000.0000000001,353207.6509041915,0.019230469890503803,0.019230469890503803,Overpriced
311,Gilbert,6,1501,1993,165600.0000000001,187714.08906613445,-0.1178072949992754,0.1178072949992754,Underpriced
312,NAmes,6,972,1948,131999.9999999999,129262.41639439444,0.021178496286598784,0.021178496286598784,Overpriced
313,OldTown,5,1118,1939,119899.9999999999,122198.42981584786,-0.018808996312896016,0.018808996312896016,Underpriced
314,Timber,7,2036,1965,375000.00000000006,265497.3383796969,0.4124435381860576,0.4124435381860576,Overpriced
315,OldTown,7,1641,1925,177999.99999999994,165436.92434736242,0.07593876459078293,0.07593876459078293,Overpriced
316,Gilbert,7,1432,2004,188500.00000000003,181277.3120121721,0.03984330916900926,0.03984330916900926,Overpriced
317,NWAmes,7,2353,1980,259999.9999999998,260466.03626889698,-0.0017892400697343078,0.0017892400697343078,Underpriced
318,Somerst,8,1959,2006,270000.00000000006,261979.14033673974,0.03061640576784302,0.03061640576784302,Overpriced
319,NoRidge,7,2646,1993,259999.9999999998,321592.9623903968,-0.19152459659744175,0.19152459659744175,Underpriced
320,NWAmes,7,1472,1980,187500.0,210579.45141058112,-0.10959973186358789,0.10959973186358789,Underpriced
321,NridgHt,9,2596,2006,342643.0000000001,361760.2685296971,-0.05284513030520273,0.05284513030520273,Underpriced
322,NridgHt,8,2468,2004,353999.99999999977,321003.13024611765,0.10279298438175026,0.10279298438175026,Overpriced
323,SawyerW,7,2730,1986,301000.00000000023,276640.23572811094,0.08805575301718108,0.08805575301718108,Overpriced
324,OldTown,3,1163,1955,126174.9999999999,115530.7489847196,0.09213348921236664,0.09213348921236664,Overpriced
325,NAmes,7,2978,1967,242000.00000000017,268853.57289234985,-0.09988177803797299,0.09988177803797299,Underpriced
326,IDOTRR,5,803,1941,86999.99999999994,70462.18413673152,0.2347048429718964,0.2347048429718964,Overpriced
327,Veenker,8,1719,1993,323999.9999999999,329170.47826042963,-0.01570760017044732,0.01570760017044732,Underpriced
328,NAmes,6,1383,1960,145249.99999999994,151981.18251099938,-0.04428957848457509,0.04428957848457509,Underpriced
329,BrkSide,6,2134,1916,214499.99999999985,185285.05686192543,0.15767565735128558,0.15767565735128558,Overpriced
330,IDOTRR,5,1192,1920,77999.99999999994,85450.59290927766,-0.08719182226374916,0.08719182226374916,Underpriced
331,NAmes,5,1728,1964,118999.99999999993,137978.41422341153,-0.13754625555184438,0.13754625555184438,Underpriced
332,NAmes,5,1056,1958,139000.00000000003,136212.898177365,0.020461364965643068,0.020461364965643068,Overpriced
333,NridgHt,8,1629,2003,284000.00000000023,281308.18344131677,0.009568923753848067,0.009568923753848067,Overpriced
334,NridgHt,7,1358,2004,206999.99999999994,205010.72955711247,0.009703250396625191,0.009703250396625191,Overpriced
335,Gilbert,6,1638,1998,191999.99999999997,192966.38935560096,-0.005008070881297942,0.005008070881297942,Underpriced
336,Timber,5,1786,1965,228949.99999999988,243573.12931221977,-0.06003588882530426,0.06003588882530426,Underpriced
337,StoneBr,9,1922,2005,377426.0000000002,355258.8103906481,0.06239729729707958,0.06239729729707958,Overpriced
338,CollgCr,7,1536,2002,214000.00000000017,226029.75169444588,-0.05322198340821919,0.05322198340821919,Underpriced
339,NWAmes,7,1621,1984,202500.00000000012,201357.3439713781,0.005674767088626413,0.005674767088626413,Overpriced
340,NAmes,6,1215,1958,155000.00000000012,150444.5687517688,0.03027979863964193,0.03027979863964193,Overpriced
341,Timber,8,1908,2002,202900.0000000001,223201.10396544798,-0.0909543170027983,0.0909543170027983,Underpriced
342,SawyerW,4,841,1950,82000.0,87932.59359773633,-0.06746751522963211,0.06746751522963211,Underpriced
343,NAmes,3,1040,1949,87500.00000000007,86861.882015904,0.00734635226967834,0.00734635226967834,Overpriced
344,NridgHt,9,1684,2005,265999.9999999998,278461.652906063,-0.044751773811624374,0.044751773811624374,Underpriced
345,MeadowV,5,1112,1976,84999.99999999996,84383.2460321177,0.007308962346002941,0.007308962346002941,Overpriced
346,BrkSide,6,1577,1939,140200.00000000003,140883.06361606158,-0.004848443798205993,0.004848443798205993,Underpriced
347,NAmes,6,958,1960,151499.99999999997,143577.67660637925,0.055177960675181534,0.055177960675181534,Overpriced
348,NAmes,6,1478,1960,157500.00000000006,176470.37401606372,-0.10749891658492679,0.10749891658492679,Underpriced
349,NridgHt,7,1626,2003,153999.99999999988,185931.00421298642,-0.1717357702022044,0.1717357702022044,Underpriced
350,NridgHt,9,2728,2005,437153.99999999977,413577.7079232478,0.05700571289284105,0.05700571289284105,Overpriced
351,NridgHt,9,1869,2007,318061.0000000001,291593.38878719864,0.09076890022399385,0.09076890022399385,Overpriced
352,ClearCr,7,1453,1986,189999.9999999999,217350.7602662595,-0.12583696616820797,0.12583696616820797,Underpriced
353,Edwards,5,1111,1941,95000.00000000001,86027.64579257216,0.10429617275662502,0.10429617275662502,Overpriced
354,OldTown,6,720,1928,105900.00000000006,105458.42560399926,0.004187189344727436,0.004187189344727436,Overpriced
355,SWISU,6,1595,1940,139999.9999999999,147581.35410746615,-0.051370677233017026,0.051370677233017026,Underpriced
356,CollgCr,6,1200,1995,177500.00000000015,168305.9946391365,0.054626725450726984,0.054626725450726984,Overpriced
357,Gilbert,6,1167,1992,172999.9999999999,161619.76714292952,0.07041361993181325,0.07041361993181325,Overpriced
358,MeadowV,5,1142,1976,133999.9999999999,139981.47071497393,-0.04273044628280342,0.04273044628280342,Underpriced
359,ClearCr,5,1352,1958,130000.00000000009,121661.3729620609,0.06853964273886277,0.06853964273886277,Overpriced
360,NoRidge,8,1924,1998,280000.0,274587.0305768214,0.01971312851815189,0.01971312851815189,Overpriced
361,Mitchel,6,912,1978,156000.0,142880.21638933037,0.09182365440236945,0.09182365440236945,Overpriced
362,BrkSide,5,1505,1940,145000.00000000012,134440.8993574055,0.07854083610764682,0.07854083610764682,Overpriced
363,Edwards,7,1922,2003,198500.00000000006,196021.71947547025,0.012642887385955894,0.012642887385955894,Overpriced
364,BrDale,6,987,1972,118000.00000000009,100553.96680537285,0.1734992039488098,0.1734992039488098,Overpriced
365,NWAmes,6,1574,1976,189999.9999999999,182148.4506681352,0.04310522160943233,0.04310522160943233,Overpriced
366,IDOTRR,5,1344,1920,146999.99999999988,120844.47684596248,0.2164395414395084,0.2164395414395084,Overpriced
367,NAmes,6,1394,1963,158999.99999999997,162179.0518751508,-0.01960211160685616,0.01960211160685616,Underpriced
368,NAmes,6,1431,1962,165000.00000000015,150206.8429218355,0.09848524068815366,0.09848524068815366,Overpriced
369,NAmes,5,1268,1954,131999.9999999999,152323.93596306522,-0.1334257537042199,0.1334257537042199,Underpriced
370,NAmes,5,1287,1959,162000.00000000012,168977.74120951997,-0.04129384828779293,0.04129384828779293,Underpriced
371,Gilbert,6,1664,2000,172400.00000000012,177246.85510688758,-0.027345224850193257,0.027345224850193257,Underpriced
372,ClearCr,4,1588,1959,134432.00000000003,125562.62905395508,0.07063702801439208,0.07063702801439208,Overpriced
373,SawyerW,6,752,1984,124999.9999999999,114913.51791354104,0.08777454793480216,0.08777454793480216,Overpriced
374,NAmes,5,1319,1953,123000.00000000009,121839.95950346603,0.00952101840202152,0.00952101840202152,Overpriced
375,CollgCr,7,1928,2003,219500.00000000012,204129.84241192523,0.07529598517525218,0.07529598517525218,Overpriced
376,Edwards,1,904,1922,60999.999999999956,79932.44691669707,-0.23685559052668406,0.23685559052668406,Underpriced
377,CollgCr,5,914,1996,148000.00000000015,133979.83952038456,0.10464380708175479,0.10464380708175479,Overpriced
378,Somerst,8,2466,2004,339999.99999999994,296455.02450659167,0.14688560453945032,0.14688560453945032,Overpriced
379,StoneBr,9,1856,2010,394432.00000000006,375981.3155216255,0.049073407950542984,0.049073407950542984,Overpriced
380,Gilbert,6,1800,2000,178999.99999999994,183891.6397835765,-0.02660066433326483,0.02660066433326483,Underpriced
381,SWISU,5,1691,1924,126999.99999999991,139735.9463070975,-0.09114294956795024,0.09114294956795024,Underpriced
382,Somerst,7,1301,2006,187749.9999999999,200446.47656401948,-0.06334098150118649,0.06334098150118649,Underpriced
383,CollgCr,7,1797,2006,213499.99999999994,202160.07838849322,0.056093773320144216,0.056093773320144216,Overpriced
384,SawyerW,6,784,1928,76000.0,86766.39365456496,-0.12408483516588477,0.12408483516588477,Underpriced
385,ClearCr,6,1953,1992,240000.00000000003,251052.76413114872,-0.0440256619734917,0.0440256619734917,Underpriced
386,Blmngtn,8,1269,2004,191999.99999999997,195517.34237876456,-0.017989925271951795,0.017989925271951795,Underpriced
387,Edwards,5,1184,1910,81000.00000000007,79324.85766628689,0.021117495612288026,0.021117495612288026,Overpriced
388,Edwards,6,1125,1976,124999.9999999999,128777.39076650565,-0.029332717055548768,0.029332717055548768,Underpriced
389,CollgCr,7,1479,1999,191000.00000000015,204036.26069707764,-0.06389188202400833,0.06389188202400833,Underpriced
390,NridgHt,10,2332,2007,426000.0000000002,427034.5009895651,-0.0024225232087048774,0.0024225232087048774,Underpriced
391,Edwards,5,1367,1900,118999.99999999993,120270.75095304489,-0.010565752213030388,0.010565752213030388,Underpriced
392,Mitchel,6,1961,2001,215000.0,220765.76832013202,-0.02611713022360916,0.02611713022360916,Underpriced
393,NAmes,5,882,1959,106499.99999999996,103856.64068844031,0.025452000893129816,0.025452000893129816,Overpriced
394,BrkSide,4,788,1941,100000.00000000004,81953.5553248583,0.22020331642241592,0.22020331642241592,Overpriced
395,OldTown,5,1034,1940,109000.0,107181.91793348659,0.016962581950079006,0.016962581950079006,Overpriced
396,Edwards,5,1144,1956,129000.0000000001,135693.9474438454,-0.04933121609285826,0.04933121609285826,Underpriced
397,CollgCr,5,894,1972,123000.00000000009,126784.69905166983,-0.029851386484163397,0.029851386484163397,Underpriced
398,NAmes,5,1812,1962,169499.99999999985,155327.30768619225,0.09124404797153053,0.09124404797153053,Overpriced
399,IDOTRR,5,1077,1920,67000.0,83882.65198057615,-0.20126511956829277,0.20126511956829277,Underpriced
400,Somerst,7,1550,2006,241000.00000000003,211882.22766982066,0.1374243260060209,0.1374243260060209,Overpriced
401,Veenker,8,1288,1996,245499.99999999988,237920.29269441086,0.031858179139534495,0.031858179139534495,Overpriced
402,CollgCr,7,1310,2005,164989.99999999988,194063.34942322964,-0.14981370521346693,0.14981370521346693,Underpriced
403,Sawyer,5,672,1940,108000.00000000001,104115.87640987393,0.03730577625678735,0.03730577625678735,Overpriced
404,NoRidge,8,2263,1998,258000.00000000015,255563.5882801868,0.009533485330242644,0.009533485330242644,Overpriced
405,Gilbert,6,1572,1995,167999.9999999999,173560.9046156437,-0.03204007623697623,0.03204007623697623,Underpriced
406,Sawyer,4,1620,1976,150000.00000000006,143146.8541258044,0.04787493176883068,0.04787493176883068,Overpriced
407,SWISU,6,1639,1936,114999.99999999991,124531.77897168117,-0.07654093638097634,0.07654093638097634,Underpriced
408,Crawfor,6,1680,1915,177000.00000000006,150243.031678005,0.17809124338850899,0.17809124338850899,Overpriced
409,NridgHt,7,2172,2006,280000.0,283784.33972394065,-0.013335266236403224,0.013335266236403224,Underpriced
410,Somerst,8,2078,2007,339749.9999999999,319598.6658832305,0.06305199698215237,0.06305199698215237,Overpriced
411,Edwards,5,1276,1958,60000.000000000015,109900.01746256134,-0.45404922232665085,0.45404922232665085,Underpriced
412,Gilbert,5,1056,1955,145000.00000000012,141125.88724147604,0.027451467864965155,0.027451467864965155,Overpriced
413,Somerst,7,1478,2009,221999.99999999983,233645.87840080654,-0.049844142257150614,0.049844142257150614,Underpriced
414,OldTown,5,1028,1927,114999.99999999991,112679.78509174792,0.020591225891696437,0.020591225891696437,Overpriced
415,SawyerW,7,2097,1993,228000.00000000003,245216.00394727368,-0.07020750550594339,0.07020750550594339,Underpriced
416,Gilbert,7,1340,2007,181134.00000000003,187860.742089682,-0.0358070665262821,0.0358070665262821,Underpriced
417,Sawyer,6,1400,1978,149500.00000000012,166243.2114039545,-0.10071515860740955,0.10071515860740955,Underpriced
418,Crawfor,6,2624,1918,239000.00000000003,223834.1386804674,0.06775490731189365,0.06775490731189365,Overpriced
419,Edwards,5,1134,1940,125999.99999999993,111868.46631187807,0.12632276238349915,0.12632276238349915,Overpriced
420,NAmes,5,1056,1968,142000.0,132714.6233639454,0.06996498502347526,0.06996498502347526,Overpriced
421,Mitchel,7,1344,1997,206299.99999999988,243853.7775816745,-0.15400121316183693,0.15400121316183693,Underpriced
422,NWAmes,6,1602,1977,215000.0,201134.3161055882,0.06893743525661145,0.06893743525661145,Overpriced
423,Mitchel,5,988,1954,112999.99999999993,116754.69846211956,-0.03215886393931995,0.03215886393931995,Underpriced
424,NoRidge,8,2630,1998,315000.0000000002,347283.54062301334,-0.092960180505813,0.092960180505813,Underpriced
425,NAmes,6,1196,1956,139000.00000000003,147050.39847548597,-0.05474584604289925,0.05474584604289925,Underpriced
426,OldTown,7,1389,1946,134999.99999999997,138706.48448237628,-0.026721782303171626,0.026721782303171626,Underpriced
427,SawyerW,7,1644,1989,275000.0000000002,261998.53503101665,0.049624189568252146,0.049624189568252146,Overpriced
428,NAmes,4,907,1957,109008.00000000007,115815.7430222958,-0.05878080858994419,0.05878080858994419,Underpriced
429,CollgCr,7,1208,2007,195400.0,195857.28757447118,-0.0023347998950373644,0.0023347998950373644,Underpriced
430,Timber,6,1412,1988,175000.00000000012,162537.5517320332,0.07667427086949774,0.07667427086949774,Overpriced
431,BrDale,6,987,1971,85399.99999999996,98055.4467756408,-0.1290641896171008,0.1290641896171008,Underpriced
432,OldTown,6,1198,1920,79899.99999999997,112479.59779156023,-0.2896489535100812,0.2896489535100812,Underpriced
433,BrDale,5,1365,1971,122499.99999999996,115466.54470651537,0.06091336076057113,0.06091336076057113,Overpriced
434,Gilbert,6,1604,1997,181000.00000000006,169197.17671114212,0.06975780280901511,0.06975780280901511,Overpriced
435,MeadowV,4,630,1972,81000.00000000007,83970.17361394917,-0.03537176935711003,0.03537176935711003,Underpriced
436,CollgCr,7,1661,1996,212000.00000000017,198612.7312331732,0.0674038803238157,0.0674038803238157,Overpriced
437,OldTown,6,1118,1920,116000.0000000001,102810.60832144921,0.1282882369231076,0.1282882369231076,Overpriced
438,BrkSide,6,904,1926,118999.99999999993,113132.30012359003,0.051865823199915485,0.051865823199915485,Overpriced
439,Crawfor,5,694,1913,90349.99999999994,84083.51901226239,0.07452686401985238,0.07452686401985238,Overpriced
440,Edwards,6,1196,1920,109999.99999999991,131669.078598096,-0.164572265780323,0.164572265780323,Underpriced
441,NridgHt,10,2402,2008,555000.0000000002,503646.34349077893,0.10196372349948672,0.10196372349948672,Overpriced
442,Edwards,4,1440,1955,118000.00000000009,116866.59319169662,0.009698295957377099,0.009698295957377099,Overpriced
443,BrkSide,5,1573,1930,162900.0000000001,154698.65634232576,0.05301496374684689,0.05301496374684689,Overpriced
444,Blmngtn,7,1258,2006,172499.99999999985,196060.28580076032,-0.12016857827445389,0.12016857827445389,Underpriced
445,CollgCr,7,1908,1994,210000.0,214675.9268258059,-0.02178132823248536,0.02178132823248536,Underpriced
446,Edwards,6,1689,1956,127500.00000000001,148558.36547908164,-0.1417514618659885,0.1417514618659885,Underpriced
447,NAmes,6,1888,1966,189999.9999999999,202109.2782276031,-0.05991450928822007,0.05991450928822007,Underpriced
448,Gilbert,7,1886,1998,199899.99999999997,209310.3777592735,-0.0449589640992209,0.0449589640992209,Underpriced
449,IDOTRR,6,1376,1937,119500.00000000009,123853.03878895444,-0.03514680650163075,0.03514680650163075,Underpriced
450,OldTown,3,1183,1948,120000.00000000004,105460.10121336798,0.13787108697359196,0.13787108697359196,Overpriced
451,OldTown,6,813,1930,109999.99999999991,113114.12086488871,-0.027530787854582,0.027530787854582,Underpriced
452,ClearCr,7,1533,1975,280000.0,203836.45924413335,0.37365023430203015,0.37365023430203015,Overpriced
453,Timber,6,1756,1996,203999.99999999985,200797.4676008965,0.015949067671852786,0.015949067671852786,Overpriced
454,Somerst,8,1590,2008,210000.0,216995.35026862012,-0.032237327942559735,0.032237327942559735,Underpriced
455,Mitchel,5,1728,1976,188000.00000000012,113368.19119534365,0.6583134829774174,0.6583134829774174,Overpriced
456,NWAmes,7,1242,1973,175500.0,171074.01502774836,0.02587175481638014,0.02587175481638014,Overpriced
457,OldTown,5,1344,1916,98000.00000000003,89488.18125176689,0.0951166805400359,0.0951166805400359,Overpriced
458,ClearCr,4,1663,1954,255999.99999999985,187356.2283093292,0.36638105020633904,0.36638105020633904,Overpriced
459,OldTown,8,1666,1925,161000.00000000006,154929.02108833918,0.03918555006036767,0.03918555006036767,Overpriced
460,BrkSide,5,1203,1950,109999.99999999991,126076.00588812774,-0.12751043130595924,0.12751043130595924,Underpriced
461,Somerst,8,1935,2009,263434.99999999994,266400.5650909384,-0.011131977478824592,0.011131977478824592,Underpriced
462,SWISU,7,1135,1936,155000.00000000012,150481.64439135068,0.030025958494304835,0.030025958494304835,Overpriced
463,Sawyer,5,864,1965,62383.000000000044,124158.05150803503,-0.49755171539589715,0.49755171539589715,Underpriced
464,Crawfor,6,1660,1934,188699.99999999988,178197.877241455,0.05893517319689899,0.05893517319689899,Overpriced
465,CollgCr,5,1040,1978,124000.00000000007,118300.11370959402,0.04818157913523456,0.04818157913523456,Overpriced
466,Blmngtn,7,1414,2004,178739.99999999997,185214.13827494442,-0.03495488160484701,0.03495488160484701,Underpriced
467,NAmes,7,1277,1970,167000.0000000001,177866.93801303222,-0.06109588512866805,0.06109588512866805,Underpriced
468,NAmes,5,1644,1942,146500.00000000006,142263.81814583277,0.0297769447592418,0.0297769447592418,Overpriced
469,NridgHt,8,1634,2006,249999.9999999998,246688.58853749704,0.01342344808949044,0.01342344808949044,Overpriced
470,SawyerW,6,1710,1993,187000.00000000012,176645.02685372226,0.05862023590877933,0.05862023590877933,Overpriced
471,StoneBr,8,1502,1985,212000.00000000017,240869.62846792134,-0.11985582678708695,0.11985582678708695,Underpriced
472,NWAmes,7,1969,1977,189999.9999999999,196660.72235749857,-0.03386910348773407,0.03386910348773407,Underpriced
473,Edwards,6,1072,2005,148000.00000000015,140729.84164799945,0.05166038891868565,0.05166038891868565,Overpriced
474,NridgHt,8,1976,2006,440000.0000000002,369362.2602686933,0.1912424395495124,0.1912424395495124,Overpriced
475,StoneBr,8,1652,2000,250999.99999999988,264543.4520554962,-0.05119556711861149,0.05119556711861149,Underpriced
476,Sawyer,5,970,1963,132499.9999999999,141957.76532273402,-0.06662379688234978,0.06662379688234978,Underpriced
477,CollgCr,6,1493,1997,208900.00000000017,208207.5243562759,0.0033258915395359403,0.0033258915395359403,Overpriced
478,NridgHt,9,2643,2006,379999.9999999999,393208.1590832648,-0.033590755375114204,0.033590755375114204,Underpriced
479,CollgCr,8,1718,2007,297000.0000000002,315268.44779973314,-0.057945690180000405,0.057945690180000405,Underpriced
480,OldTown,4,1131,1937,89471.00000000004,125849.97688174876,-0.2890662182316581,0.2890662182316581,Underpriced
481,NridgHt,9,1850,2004,326000.0,332693.5488666932,-0.020119262575107086,0.020119262575107086,Underpriced
482,NridgHt,9,1792,2003,373999.99999999977,352304.2599559664,0.06158239485024985,0.06158239485024985,Overpriced
483,OldTown,7,1826,1915,155000.00000000012,191927.69194596415,-0.19240418915870022,0.19240418915870022,Underpriced
484,Mitchel,6,1216,1998,163999.99999999988,154430.76020288945,0.061964596849348366,0.061964596849348366,Overpriced
485,Sawyer,5,999,1962,132499.9999999999,138424.422865605,-0.04279897104109342,0.04279897104109342,Underpriced
486,NAmes,5,1113,1950,146999.99999999988,145933.49779201703,0.007308138461142191,0.007308138461142191,Overpriced
487,NAmes,5,1073,1965,156000.0,146131.1671287644,0.06753407274534119,0.06753407274534119,Overpriced
488,NWAmes,5,1484,1971,175000.00000000012,165830.41162805897,0.05529497443754539,0.05529497443754539,Overpriced
489,OldTown,5,2414,1900,159999.99999999997,123329.99800278559,0.29733238134315165,0.29733238134315165,Overpriced
490,MeadowV,4,630,1970,86000.00000000001,95216.22752624277,-0.0967926136718938,0.0967926136718938,Underpriced
491,MeadowV,5,1304,1976,114999.99999999991,117280.42597566315,-0.019444216344647734,0.019444216344647734,Underpriced
492,NAmes,6,1578,1941,133000.00000000012,146675.1153691233,-0.0932340522433428,0.0932340522433428,Underpriced
493,Gilbert,6,1456,2006,172785.00000000015,170567.56498422302,0.013000332249465084,0.013000332249465084,Overpriced
494,NAmes,5,1269,1960,155000.00000000012,140708.61702489087,0.10156721938771628,0.10156721938771628,Overpriced
495,OldTown,5,886,1938,91299.99999999996,97218.34946187389,-0.06087687658382776,0.06087687658382776,Underpriced
496,IDOTRR,4,720,1920,34899.99999999998,78072.11480954786,-0.5529773967935109,0.5529773967935109,Underpriced
497,NoRidge,8,3228,1992,430000.00000000023,342038.77772768645,0.257167397383065,0.257167397383065,Overpriced
498,BrkSide,7,1820,1925,184000.00000000015,175050.09674722183,0.05112766813092524,0.05112766813092524,Overpriced
499,Sawyer,5,899,1967,130000.00000000009,129801.47011228757,0.0015294887457035298,0.0015294887457035298,Overpriced
